电子化学品,881172,49994.0508,49747.9531,0.4947
动物疫苗,885846,1668.8983,1660.7531,0.4905
有机硅概念,885912,1844.6057,1835.8420,0.4774
低空经济,886067,2158.1289,2147.8779,0.4773
机器视觉,886002,1908.0924,1899.1340,0.4717
建筑装饰,881116,4234.5020,4214.8140,0.4671
小米汽车,886064,1689.9178,1682.1410,0.4623
家用电器,885543,4178.4209,4159.2578,0.4607
农化制品,881263,4922.5552,4900.1172,0.4579
量子科技,885730,2341.7114,2331.1321,0.4538
消费电子,881124,11647.7705,11596.8623,0.4390
安防,885423,4940.1714,4918.7090,0.4363
汽车拆解概念,885902,1539.0621,1532.4091,0.4342
国企改革,886021,1442.0808,1436.0690,0.4186
黄金概念,885530,3134.8655,3121.9700,0.4131
化学原料,881108,3093.5222,3080.8140,0.4125
智能穿戴,885454,4078.4719,4062.0879,0.4033
露营经济,885990,1787.3949,1780.2290,0.4025
福建自贸区,885617,1475.0409,1469.2230,0.3960
轨交设备,881269,1158.2426,1153.6760,0.3958
车联网(车路协同),885662,1263.7114,1258.7660,0.3929
零售,881158,2183.5647,2175.0400,0.3919
长安汽车概念,886061,1708.4904,1701.8710,0.3889
POE胶膜,886026,872.6984,869.3260,0.3879
航运概念,885733,1697.6887,1691.1801,0.3849
机器人概念,885517,4040.8328,4025.8970,0.3710
光学光电子,881122,4943.7856,4925.8550,0.3640
智能音箱,885771,2751.6245,2741.7510,0.3601
新型城镇化,885991,1296.9667,1292.3660,0.3560
智能电网,885311,3515.3445,3502.9709,0.3532
冷链物流,885502,1865.0115,1858.4500,0.3531
芬太尼,885805,2481.3914,2472.7791,0.3483
毫米波雷达,886035,1902.3907,1895.9170,0.3415
高压快充,886001,1842.0616,1835.9490,0.3329
人形机器人,886069,2573.1887,2565.1069,0.3151
工业金属,881168,3618.4629,3607.6841,0.2988
消费电子概念,885800,2791.3174,2783.0161,0.2983
电网设备,881278,5734.1772,5717.5869,0.2902
高端装备,885427,3150.8215,3141.7480,0.2888
AI手机,886070,1851.5398,1846.2430,0.2869
金属钴,885865,2304.0608,2297.6101,0.2808
医疗器械,881144,12601.4805,12566.5352,0.2781
纺织制造,881135,2292.2297,2285.8979,0.2770
石墨电极,885781,1224.4910,1221.2720,0.2636
腾讯概念,885779,1417.3630,1413.7220,0.2576
化肥,885967,957.4648,955.0150,0.2565
苹果概念,885376,4822.0156,4810.0869,0.2480
金属铅,885971,1412.7963,1409.3760,0.2427
快手概念,885918,1927.6099,1923.1790,0.2304
俄乌冲突概念,885964,1263.7546,1260.8940,0.2269
华为概念,885806,3370.5476,3363.0979,0.2215
核电,885571,3646.8601,3639.2759,0.2084
化学纤维,881264,3882.6509,3874.8169,0.2022
合成生物,886077,1662.8068,1659.7410,0.1847
虚拟现实,885709,1015.9526,1014.0860,0.1841
云游戏,885874,1643.8174,1640.8690,0.1797
东数西算(算力),885957,2164.7886,2160.9761,0.1764
建筑材料,881115,5400.4229,5391.0688,0.1735
新型工业化,886057,1711.1964,1708.2340,0.1734
风电,885641,1207.4946,1205.4290,0.1714
充电桩,885461,6069.7974,6059.5532,0.1691
特色小镇,885750,538.2739,537.4050,0.1617
特斯拉概念,885467,5437.8374,5429.1621,0.1598
生物疫苗,885845,2024.4022,2021.1860,0.1591
飞行汽车(eVTOL),886066,2014.0320,2010.8800,0.1567
无人驾驶,885736,2885.5059,2881.2561,0.1475
同花顺漂亮100,885916,885.2428,884.0820,0.1313
食品安全,885406,4878.6064,4872.4448,0.1265
抖音概念(字节概念),885890,1746.8148,1744.6460,0.1243
工业互联网,885783,2705.7380,2702.5691,0.1173
PPP概念,885690,961.6146,960.4970,0.1163
MiniLED,885875,1957.1188,1954.9940,0.1087
动力电池回收,885944,869.7122,868.7740,0.1080
自动化设备,881171,26509.4531,26482.0449,0.1035
芯片概念,885756,3895.0107,3891.1860,0.0983
Sora概念(文生视频),886068,2430.7437,2428.4241,0.0955
TOPCON电池,886007,945.5199,944.6890,0.0880
跨境电商,885642,1043.3646,1042.4659,0.0862
摘帽,885742,886.2180,885.4810,0.0832
通用设备,881117,8854.6963,8847.8457,0.0774
海工装备,885426,3255.6838,3253.2351,0.0753
智能医疗,885402,4872.8657,4869.5771,0.0675
光伏概念,885531,3895.1814,3892.5740,0.0670
医疗服务,881175,18683.8047,18672.7812,0.0590
富士康概念,885786,2682.6226,2681.0510,0.0586
网络游戏,885603,1768.7695,1767.8040,0.0546
碳中和,885919,1921.0978,1920.0880,0.0526
民营医院,885490,1620.8228,1620.0050,0.0505
文化传媒概念,885418,3040.3066,3038.8459,0.0481
宠物经济,886012,1653.0858,1652.3530,0.0443
污水处理,885412,1728.9180,1728.1860,0.0424
粤港澳大湾区,885521,2622.0798,2621.0010,0.0412
一带一路,885494,2368.5437,2367.9470,0.0252
创投,885413,3505.4988,3505.3091,0.0054
汽车电子,885545,5023.3398,5023.1909,0.0030
参股银行,885835,1524.9547,1524.9821,-0.0018
细胞免疫治疗,885769,1257.9653,1258.0480,-0.0066
专用设备,881118,7582.7607,7583.3701,-0.0080
钙钛矿电池,886006,950.6022,950.7080,-0.0111
医美概念,885913,1384.0710,1384.4561,-0.0278
换电概念,885938,1635.5447,1636.0601,-0.0315
阿里巴巴概念,885611,2099.3823,2100.0750,-0.0330
同花顺出海50,886075,1732.3884,1733.1350,-0.0431
金属铜,885973,1439.6938,1440.3330,-0.0444
综合,881165,2357.6812,2358.7290,-0.0444
美容护理,881182,5934.8208,5937.4722,-0.0447
环境治理,881181,4033.2515,4035.0649,-0.0449
虚拟电厂,886004,1493.2838,1494.1899,-0.0606
深股通,885694,1303.2579,1304.1530,-0.0686
汽车零部件,881126,7091.2778,7096.9180,-0.0795
化学制品,881109,7122.4702,7129.0220,-0.0919
页岩气,885372,2568.3804,2570.8750,-0.0970
物联网,885312,3173.0461,3176.1560,-0.0979
第三代半导体,885908,1801.4451,1803.2810,-0.1018
智慧灯杆,885963,1520.6335,1522.4050,-0.1164
独角兽概念,885787,2023.2583,2025.6190,-0.1165
小金属概念,885552,2852.2539,2855.7849,-0.1236
染料,885633,1452.2234,1454.1169,-0.1302
储能,885921,2361.4568,2364.5891,-0.1325
汽车整车,881125,3408.8735,3413.4080,-0.1328
绿色电力,885936,1122.2858,1123.7800,-0.1330
比亚迪概念,885997,1862.3561,1865.0300,-0.1434
电力,881145,1768.9470,1771.7180,-0.1564
塑料制品,881265,9758.8828,9774.7275,-0.1621
融资融券,885338,1757.6505,1760.6071,-0.1679
汽车服务及其他,881128,1293.6517,1295.9091,-0.1742
EDR概念,885943,1556.0817,1559.0280,-0.1890
牙科医疗,885926,1129.7897,1131.9460,-0.1905
阿尔茨海默概念,886056,1342.4003,1344.9800,-0.1918
冰雪产业,885825,1488.1511,1491.0730,-0.1960
可降解塑料,885901,1495.8298,1498.8190,-0.1994
先进封装,886009,1709.9039,1713.5420,-0.2123
横琴新区,885827,2009.3573,2013.6500,-0.2132
股权转让(并购重组),885739,1086.6602,1089.1021,-0.2242
3D打印,885537,3976.8655,3986.0430,-0.2302
固废处理,885410,2101.3943,2106.4661,-0.2408
宁德时代概念,885789,2055.3013,2060.4880,-0.2517
金属镍,885969,1022.8074,1025.6219,-0.2744
家居用品,881139,4306.3130,4318.1792,-0.2748
天然气,885430,1502.8937,1507.4091,-0.2995
钛白粉概念,885652,1675.4673,1680.5229,-0.3008
举牌,885587,3188.7043,3198.4500,-0.3047
数据中心,885887,2110.0872,2116.8279,-0.3184
新能源汽车,885431,4519.0806,4533.7681,-0.3240
氢能源,885823,2497.3354,2505.5769,-0.3289
农机,885706,1401.0645,1405.8190,-0.3382
高铁,885562,3688.7148,3701.2500,-0.3387
氟化工概念,885551,4194.1152,4208.4058,-0.3396
医疗器械概念,885539,3134.1814,3145.2100,-0.3507
短剧游戏,886060,1370.2117,1375.0620,-0.3527
6G概念,886037,1815.3750,1821.8361,-0.3546
上海自贸区,885472,4377.2153,4392.8521,-0.3560
沪股通,885520,2265.5139,2273.7729,-0.3632
ST板块,885699,536.3350,538.3470,-0.3737
工业大麻,885818,1612.7457,1618.8350,-0.3762
专精特新,885929,1551.0857,1556.9510,-0.3767
一体化压铸,886000,1380.3149,1385.5410,-0.3772
共同富裕示范区,885924,1505.0449,1510.9091,-0.3881
智能物流,885770,1151.5343,1156.1600,-0.4001
盐湖提锂,885922,1584.3270,1590.7750,-0.4053
电力物联网,885819,2097.5364,2106.2781,-0.4150
铜缆高速连接,886073,2114.8291,2123.6580,-0.4157
培育钻石,885937,1437.4636,1443.6040,-0.4254
服装家纺,881136,2943.7192,2956.7300,-0.4400
拼多多概念,885910,1720.5363,1728.5291,-0.4624
金属回收,885972,1088.0470,1093.2240,-0.4736
金属锌,885970,1531.3951,1538.7450,-0.4777
钠离子电池,885928,1231.4886,1237.4050,-0.4781
包装印刷,881138,4365.7573,4387.8662,-0.5039
锂电池概念,885710,1711.9152,1720.7690,-0.5145
英伟达概念,886048,1629.9390,1638.6340,-0.5306
超导概念,886038,1891.3658,1901.5811,-0.5372
电池,881281,18621.1328,18727.8457,-0.5698
5G,885556,5429.8262,5461.2080,-0.5746
托育服务,885968,1122.2784,1129.0081,-0.5961
烟草,885851,1615.4348,1625.2469,-0.6037
长三角一体化,885832,1760.1267,1771.0649,-0.6176
其他电源设备,881282,6065.7603,6104.1938,-0.6296
固态电池,886032,1267.9161,1276.1400,-0.6444
三胎概念,885540,2470.0918,2486.1350,-0.6453
碳交易,885986,1001.7440,1008.3320,-0.6534
赛马概念,885792,880.5535,886.5800,-0.6798
旅游概念,885497,2984.0652,3004.7971,-0.6900
消毒剂,885882,1975.1227,1988.9139,-0.6934
液冷服务器,886044,1839.7662,1852.9410,-0.7110
AI PC,886071,1918.2216,1932.6320,-0.7456
脑机接口,886047,1725.9258,1740.3571,-0.8292
电子竞技,885737,584.7590,589.6560,-0.8305
磷化工,885863,2460.7388,2482.2610,-0.8670
广东自贸区,885734,1338.4789,1350.4220,-0.8844
体育产业,885615,1108.4991,1118.8220,-0.9227
造纸,881137,2210.5986,2231.7151,-0.9462
其他电子,881123,15602.7119,15754.0410,-0.9606
足球概念,885580,1493.0869,1507.9680,-0.9868
燃料电池,885775,1934.7854,1955.3990,-1.0542
共封装光学(CPO),886033,3338.5842,3390.6860,-1.5366
PET铜箔,886020,1410.8226,1433.0490,-1.5510
元件,881270,14847.9805,15118.2598,-1.7878
PCB概念,885959,1734.2626,1770.8719,-2.0673
